,x
PC_1_Mber_JMR045,-0.0339464381068532
PC_1_Mber_Joerg73,-0.0356128954512736
PC_1_Mber_KIR06.30_S12,-0.0335037074701066
PC_1_Mber_KIR06.34,-0.0353866532107081
PC_1_Mber_RMR94,-0.0344608187048981
PC_1_Mmyo_01y13_bom_S12,-0.0192773384534298
PC_1_Mmyo_03y06_hatsi_S12,-0.0341322827158337
PC_1_Mmyo_17y03_madi_S12,-0.0172966625571642
PC_1_Mmyo_BEMA7.17_S12,-0.0283135012052946
PC_1_Mmyo_JMR027,-0.02951376294708
PC_1_Mmyo_JMR072,-0.0216643973405331
PC_1_Mmyo_RMR31,-0.0218534204565144
PC_1_Mmyo_RMR70,-0.0235719168320337
PC_1_Mruf_CAISOM101,-0.0346425799383524
PC_1_Mruf_E250M100,-0.0328460253891924
PC_1_Mruf_PBZT116,-0.0332128625771267
PC_1_Mruf_PBZT122,-0.0327885006636605
PC_1_Mruf_RMR142,-0.0342166992701269
PC_1_Mruf_TRA8.83,-0.0304645478028716
PC_1_Mruf_TRA8.85,-0.0286280059939245
PC_1_Mbon_301y03_ata_S12,0.231715833074431
PC_1_Mbon_3y11_hara_S12,0.23171583307443
PC_1_Mbon_55y04_bibo_S12,0.23171583307443
PC_1_Mbon_f08y13_zana,0.217577974539532
PC_1_Mbon_f09y13_zana,0.219777639724178
PC_1_Mbon_f13y15_sely,0.23883684542167
PC_1_Mbon_f17y13_zana,0.225712412392399
PC_1_Mdan_02y08_befa_S12,-0.0302280257370795
PC_1_Mdan_42y04_koa_S12,-0.0340958364824424
PC_1_Mdan_44y04_koa_S12,-0.0340958364824424
PC_1_Mdan_83y04_injo_S12,-0.0340958364824424
PC_1_Mdan_90y04_anji_S12,-0.0344112862667021
PC_1_Mrav_10y03_anko_S12,0.230002151003161
PC_1_Mrav_10y13_jbb_S12,0.23171583307443
PC_1_Mrav_13y03_anko_S12,0.23171583307443
PC_1_Mrav_166y03_bero,0.226735902121495
PC_1_Mrav_f325y18_mari,0.224041084349268
PC_1_Mrav_m117y17_jabe,0.220348962954397
PC_1_Mrav_m125y14_mari_S12,0.22562695016121
PC_1_Mrav_m139y17_jabe,0.223602196083902
PC_1_Mrav_m178y14_mari_S12,0.23171583307443
PC_1_Mrav_m266y18_mari,0.22687108729642
PC_1_Mbor_RMR115,-0.0430047477011946
PC_1_Mbor_RMR116,-0.043102930439239
PC_1_Mbor_RMR124,-0.0408696231078372
PC_1_Mbor_RMR129,-0.0421261943591314
PC_1_Msim_A032014,-0.0425289209569395
PC_1_Msim_A082014,-0.0436455384003808
PC_1_Msim_BET87,-0.0413992586069034
PC_1_Msim_PBZT117,-0.041801600641508
PC_1_Msim_POLO522,-0.0411244370588399
PC_1_Msim_ZAH2,-0.0411530007639543
PC_1_Msim_ZAH5,-0.0405954218748956
PC_1_Mgan_00016A8577,-0.0225747705811748
PC_1_Mgan_00016A875E,-0.0241544183455692
PC_1_Mgan_00072854DC,-0.022530757474897
PC_1_Mgan_0007289B19,-0.0226999578590029
PC_1_Mgan_00074C439B,-0.0212922179949114
PC_1_Mman_RMR215,-0.00837669260816048
PC_1_Mman_RMR216,-0.0200690426046227
PC_1_Mman_RMR217,-0.0109617834779487
PC_1_Mman_RMR219,-0.00937444330850394
PC_1_Mman_RMR220,-0.0227150825968977
PC_1_Mmur_71y04_tsin_S12,-0.0184688439868307
PC_1_Mmur_AB01,-0.0200549566073513
PC_1_Mmur_KIR06.31,-0.00186071238733715
PC_1_Mmur_KIR06.32,-0.026638878109366
PC_1_Mmur_MOR106,-0.0109207604672037
PC_1_Mmur_Micro24,-0.0258572060959499
PC_1_Mmur_RMR19,-0.0232126491105959
PC_1_Mmur_RMR27,-0.0117451983174903
PC_1_Mmur_f102y18_mari,-0.00327735101578091
PC_1_Mmur_f142y17_jabe,-0.0113701506424648
PC_1_Mmur_f21y15_bomb,0.00236118439447396
PC_1_Mmur_f56y13_ampi_S12,-0.0197440111965802
PC_1_Mmur_m209y18_mari,-0.00200700971921268
PC_1_Mmur_m53y11_ampi_S12,-0.0197440111965801
PC_1_Mger_f12y18_fina,-0.0562009970330011
PC_1_Mger_f51y18_sako,-0.0452069148531342
PC_1_Mger_f55y18_bao,-0.0609653285350318
PC_1_Mger_m10y18_dobo,-0.046855434143072
PC_1_Mger_m17y18_fina,-0.0592918567250115
PC_1_Mger_m44y18_anja,-0.048018868629943
PC_1_Mjol_LAKI5.20_S12,-0.0512530494775398
PC_1_Mjol_LAKI5.24,-0.0526751779410292
PC_1_Mmaro_RMR131,-0.05267909231258
PC_1_Mjon_A12,-0.000250464907468292
PC_1_Mjon_A23,-0.000411973515453263
PC_1_Mjon_A24,-0.000413004458243978
