,x
PC_1_Mber_JMR045,-0.0650693918136112
PC_1_Mber_Joerg73,-0.0640533053798467
PC_1_Mber_KIR06.30_S12,-0.0476556590714462
PC_1_Mber_KIR06.34,-0.062261218649327
PC_1_Mber_RMR94,-0.0627308764644934
PC_1_Mmyo_01y13_bom_S12,-0.0906572625619863
PC_1_Mmyo_03y06_hatsi_S12,-0.104316180806407
PC_1_Mmyo_17y03_madi_S12,-0.0910482422732266
PC_1_Mmyo_BEMA7.17_S12,-0.0599837729081195
PC_1_Mmyo_JMR027,-0.0782748603595403
PC_1_Mmyo_JMR072,-0.0764297724326905
PC_1_Mmyo_RMR31,-0.0508321306131827
PC_1_Mmyo_RMR70,-0.0678157143498195
PC_1_Mruf_CAISOM101,-0.073902005101132
PC_1_Mruf_E250M100,-0.0792878728733214
PC_1_Mruf_PBZT116,-0.0573512593166554
PC_1_Mruf_PBZT122,-0.0641753176061569
PC_1_Mruf_RMR142,-0.0724905760070019
PC_1_Mruf_TRA8.83,-0.0687960399601743
PC_1_Mruf_TRA8.85,-0.063983933291066
PC_1_Mbon_301y03_ata_S12,0.0158621021848644
PC_1_Mbon_3y11_hara_S12,0.0158621021848644
PC_1_Mbon_55y04_bibo_S12,0.0107404495972711
PC_1_Mbon_f08y13_zana,0.0105709506192151
PC_1_Mbon_f09y13_zana,0.0113873994005908
PC_1_Mbon_f13y15_sely,0.00250024246407231
PC_1_Mbon_f17y13_zana,0.0340290276858339
PC_1_Mdan_02y08_befa_S12,0.0201115103408628
PC_1_Mdan_42y04_koa_S12,0.019998872035854
PC_1_Mdan_44y04_koa_S12,0.0207764541433629
PC_1_Mdan_83y04_injo_S12,0.0195261555415998
PC_1_Mdan_90y04_anji_S12,-0.0259566718512167
PC_1_Mrav_10y03_anko_S12,0.00986350632767372
PC_1_Mrav_10y13_jbb_S12,0.012862804256269
PC_1_Mrav_13y03_anko_S12,-0.0258427257195875
PC_1_Mrav_166y03_bero,0.0304879625555816
PC_1_Mrav_f325y18_mari,0.0120278322879099
PC_1_Mrav_m117y17_jabe,0.0293936737052148
PC_1_Mrav_m125y14_mari_S12,0.0128628042562691
PC_1_Mrav_m139y17_jabe,0.0309553384372975
PC_1_Mrav_m178y14_mari_S12,0.0158621021848644
PC_1_Mrav_m266y18_mari,0.0314228009001005
PC_1_Mbor_RMR115,-0.0454846868868457
PC_1_Mbor_RMR116,-0.0459439212863105
PC_1_Mbor_RMR124,-0.0665614946205706
PC_1_Mbor_RMR129,-0.0516630232585412
PC_1_Msim_A032014,-0.057428509663122
PC_1_Msim_A082014,-0.0557931405758527
PC_1_Msim_BET87,-0.0641989896259417
PC_1_Msim_PBZT117,-0.0511209868664675
PC_1_Msim_POLO522,-0.0590578204822985
PC_1_Msim_ZAH2,-0.0458923008877709
PC_1_Msim_ZAH5,-0.0508331563157725
PC_1_Mgan_00016A8577,0.167541689533629
PC_1_Mgan_00016A875E,0.167970075057908
PC_1_Mgan_00072854DC,0.164886971644693
PC_1_Mgan_0007289B19,0.171570965737895
PC_1_Mgan_00074C439B,0.16314968883725
PC_1_Mman_RMR215,0.17800797123797
PC_1_Mman_RMR216,0.265130083716808
PC_1_Mman_RMR217,0.18041808590471
PC_1_Mman_RMR219,0.181254277628694
PC_1_Mman_RMR220,0.151239136874238
PC_1_Mmur_71y04_tsin_S12,0.176672550819938
PC_1_Mmur_AB01,0.146413460036444
PC_1_Mmur_KIR06.31,0.113530174614915
PC_1_Mmur_KIR06.32,0.154288035873881
PC_1_Mmur_MOR106,0.147124260731318
PC_1_Mmur_Micro24,0.200167277994746
PC_1_Mmur_RMR19,0.165802108729206
PC_1_Mmur_RMR27,0.167842273741782
PC_1_Mmur_f102y18_mari,0.148037787948409
PC_1_Mmur_f142y17_jabe,0.150776015901191
PC_1_Mmur_f21y15_bomb,0.171151577086336
PC_1_Mmur_f56y13_ampi_S12,0.177458685291559
PC_1_Mmur_m209y18_mari,0.131520289062914
PC_1_Mmur_m53y11_ampi_S12,0.177458685291559
PC_1_Mger_f12y18_fina,-0.0604622033201882
PC_1_Mger_f51y18_sako,-0.0599068747940893
PC_1_Mger_f55y18_bao,-0.0601108507731851
PC_1_Mger_m10y18_dobo,-0.0611832481486425
PC_1_Mger_m17y18_fina,-0.0598002202627958
PC_1_Mger_m44y18_anja,-0.0590459230469768
PC_1_Mjol_LAKI5.20_S12,0.0101303172984142
PC_1_Mjol_LAKI5.24,0.00995298173525443
PC_1_Mmaro_RMR131,0.00721286119567801
PC_1_Mjon_A12,0.029303498286749
PC_1_Mjon_A23,0.0298897803026896
PC_1_Mjon_A24,0.0549428494487162
PC_1_Mjon_B13,0.0157548154976447
PC_1_Mjon_B24,0.0407400373028083
PC_1_Mjon_B34,0.0261063084501978
PC_1_Mjon_BD1,0.0295621185860966
PC_1_Mjon_MBB019,0.0565921951704358
PC_1_Mjon_MBB020,0.0305001188160929
PC_1_Mjon_MBB027,0.0539571393471647
PC_1_Mmac_01y06_hely_S12,-0.0224996969627937
PC_1_Mmac_04y06_hely_S12,-0.0224996969627937
PC_1_Mmac_04y13_hely_S12,0.030930694327145
PC_1_Mmac_06y08_hely_S12,0.0322005241626613
PC_1_Mmac_07y08_hely_S12,0.030930694327145
PC_1_Mmac_08y08_hely_S12,0.030930694327145
PC_1_Mleh_01y00_man_S12,-0.0500091192747603
PC_1_Mleh_02y00_man_S12,-0.0498865400016673
PC_1_Mleh_ANJZ11,-0.0542547470674533
PC_1_Mleh_B12,-0.0494521756486146
PC_1_Mleh_B14,-0.0408154196543948
PC_1_Mleh_BC3,-0.0420239740845801
PC_1_Mleh_C24,-0.0420659044330918
PC_1_Mleh_JMR001_S12,-0.0253371658926633
PC_1_Mleh_JMR002_S12,-0.0444824970107745
PC_1_Mleh_MBB038,-0.0567181224950336
PC_1_Mleh_MBB045,-0.032090990982868
PC_1_Mleh_ODY6.9,-0.015572347785725
PC_1_Mleh_Oskar_S12,-0.0239097544503286
PC_1_Mleh_SIB7.1,-0.0391303317928482
PC_1_Mleh_TAD4.32,-0.0171617039520868
PC_1_Mleh_Viola_S12,-0.0644276058490567
PC_1_Mmit_07y06_habe_S12,-0.0722456902887151
PC_1_Mmit_10y07_hely_S12,-0.045755476518237
PC_1_Mmit_MBB005,-0.0298780167461769
PC_1_Mmit_MBB012,-0.0686035475164405
PC_1_Mmit_PBZT115,-0.0476229674375585
PC_1_Mmit_RMR186,-0.022947239058227
PC_1_Mmit_RMR187,-0.0579034942147351
PC_1_Mmit_m05y06_hely,-0.0535592129245718
PC_1_Mmam_02y02_oka_S12,-0.0545553862700333
PC_1_Mmam_05y02_oka_S12,-0.0547585887702796
PC_1_Mmam_11y02_oka_S12,-0.0386324084228167
PC_1_Mmam_12y02_oka_S12,-0.0421948731043187
PC_1_Mmam_I01_2015,-0.0332681166680527
PC_1_Mmam_m16y16_lok,-0.00617721488419742
PC_1_Mmam_m22y16_lok,-0.00625796022499834
PC_1_Mmarg_TAF06.1,-0.00642564720253127
PC_1_Mmarg_TAF06.5,-0.00602896763254909
PC_1_Mmarg_m12y16_mibe,-0.00716125668339771
PC_1_Msam_02y05_mamy_S12,-0.0113691348106879
PC_1_Msam_06y02_mahi_S12,-0.0347889920590779
PC_1_Msam_06y05_mamy_S12,-0.0853272454518486
PC_1_Msam_07y02_mahi_S12,-0.0317156074036129
PC_1_Msam_15y02_mahi_S12,-0.0416729092127889
PC_1_Marn_AMB5.26,-0.0587476875265321
PC_1_Marn_AMB5.41,-0.052189477113465
PC_1_Marn_BC49_2017,-0.0542206898267091
PC_1_Marn_BE51_2017,-0.0582534555184113
PC_1_Marn_RMR156,-0.0553074380118068
PC_1_Msp1_A100_2014,-0.0492649997611369
PC_1_Msp1_A17_2014,-0.0539659906246579
PC_1_Msp1_A45_2014,-0.0523730680413008
PC_1_Msp1_A61_2014,-0.0485931178415552
PC_1_Msp1_AMBH_D7_2013,-0.0190319777348027
PC_1_Msp1_ANALV_A19_2013,-0.0177309110845939
PC_1_Msp1_B14_2014,-0.0542426860162134
PC_1_Msp1_B77_2014,-0.0527010473621543
PC_1_Msp1_BEZAV_C30_2013,-0.0177309110845939
PC_1_Msp1_BEZAV_C53_2013,-0.0177309110845939
PC_1_Msp1_BF38_2017,-0.0510232796866814
PC_1_Msp1_BIN.S_K53_2011,-0.0177309110845939
PC_1_Msp1_E23_2014,-0.0490196749667998
PC_1_Msp1_F28_2015,-0.0567877789130994
PC_1_Msp1_F60_2015,-0.0449319147192604
PC_1_Msp1_G40_2015,-0.0499019852438085
PC_1_Msp1_MBB052,-0.05834979149914
PC_1_Msp1_SALAF_B66_2013,-0.0177309110845939
PC_1_Msp1_SALAF_B77_2013,-0.0177309110845939
