,x
PC_1_Mber_JMR045,0.000811044657583138
PC_1_Mber_Joerg73,0.0167646081117893
PC_1_Mber_KIR06.30_S12,0.0190035903078706
PC_1_Mber_KIR06.34,0.00227067904393249
PC_1_Mber_RMR94,0.00385251032519848
PC_1_Mmyo_01y13_bom_S12,0.000155697425057419
PC_1_Mmyo_03y06_hatsi_S12,-0.0210224763723911
PC_1_Mmyo_17y03_madi_S12,0.0361462752142482
PC_1_Mmyo_BEMA7.17_S12,-0.0127906713173015
PC_1_Mmyo_JMR027,-0.051184049500485
PC_1_Mmyo_JMR072,-0.0235108653525591
PC_1_Mmyo_RMR31,0.00163842783875996
PC_1_Mmyo_RMR70,0.00701165752066588
PC_1_Mruf_CAISOM101,0.00263404991643024
PC_1_Mruf_E250M100,-0.000896142857522227
PC_1_Mruf_PBZT116,-0.0177786798946313
PC_1_Mruf_PBZT122,-0.0221656499064061
PC_1_Mruf_RMR142,-0.00524842982038864
PC_1_Mruf_TRA8.83,-0.00332277010083221
PC_1_Mruf_TRA8.85,-0.0019997995761154
PC_1_Mbon_301y03_ata_S12,0.172664854803722
PC_1_Mbon_3y11_hara_S12,0.200096052622745
PC_1_Mbon_55y04_bibo_S12,0.181015603362822
PC_1_Mbon_f08y13_zana,0.151407303872076
PC_1_Mbon_f09y13_zana,0.15727800066837
PC_1_Mbon_f13y15_sely,0.159274745118248
PC_1_Mbon_f17y13_zana,0.162351729712264
PC_1_Mdan_02y08_befa_S12,0.131040734193363
PC_1_Mdan_42y04_koa_S12,0.131698622391294
PC_1_Mdan_44y04_koa_S12,0.131185734906643
PC_1_Mdan_83y04_injo_S12,0.131185734906643
PC_1_Mdan_90y04_anji_S12,0.158110466921236
PC_1_Mrav_10y03_anko_S12,0.198024388098897
PC_1_Mrav_10y13_jbb_S12,0.198024388098897
PC_1_Mrav_13y03_anko_S12,0.200022178703514
PC_1_Mrav_166y03_bero,0.122747466856758
PC_1_Mrav_f325y18_mari,0.16156379332462
PC_1_Mrav_m117y17_jabe,0.143291995907713
PC_1_Mrav_m125y14_mari_S12,0.161935154102899
PC_1_Mrav_m139y17_jabe,0.11710209157367
PC_1_Mrav_m178y14_mari_S12,0.200022178703514
PC_1_Mrav_m266y18_mari,0.160740467423758
PC_1_Mbor_RMR115,-0.0536438534984932
PC_1_Mbor_RMR116,-0.0523243279646844
PC_1_Mbor_RMR124,-0.0535074039915619
PC_1_Mbor_RMR129,-0.0516242203084162
PC_1_Msim_A032014,-0.0528803854133233
PC_1_Msim_A082014,-0.0526112457408201
PC_1_Msim_BET87,-0.0503682937961264
PC_1_Msim_PBZT117,-0.0509912692424988
PC_1_Msim_POLO522,-0.0496775721246361
PC_1_Msim_ZAH2,-0.0507943726202858
PC_1_Msim_ZAH5,-0.0510850702912274
PC_1_Mgan_00016A8577,0.0656781288866054
PC_1_Mgan_00016A875E,0.0598690307669593
PC_1_Mgan_00072854DC,0.060897544758391
PC_1_Mgan_0007289B19,0.0489870687624311
PC_1_Mgan_00074C439B,0.0624612671280744
PC_1_Mman_RMR215,0.07399351483667
PC_1_Mman_RMR216,0.0819358543713893
PC_1_Mman_RMR217,0.0558890136327156
PC_1_Mman_RMR219,0.0599775209048151
PC_1_Mman_RMR220,0.0646331053028769
PC_1_Mmur_71y04_tsin_S12,0.0400284923983744
PC_1_Mmur_AB01,0.0624881344885593
PC_1_Mmur_KIR06.31,0.0730082613233945
PC_1_Mmur_KIR06.32,0.0594332413769036
PC_1_Mmur_MOR106,0.0562730913860616
PC_1_Mmur_Micro24,0.084437659073042
PC_1_Mmur_RMR19,0.0721042575075361
PC_1_Mmur_RMR27,0.0590504995211875
PC_1_Mmur_f102y18_mari,0.0698909029782589
PC_1_Mmur_f142y17_jabe,0.0686640943454688
PC_1_Mmur_f21y15_bomb,0.0724555335754305
PC_1_Mmur_f56y13_ampi_S12,0.0772482035612335
PC_1_Mmur_m209y18_mari,0.0706598976101872
PC_1_Mmur_m53y11_ampi_S12,0.0772482035612336
PC_1_Mger_f12y18_fina,-0.0526798046746532
PC_1_Mger_f51y18_sako,-0.0538497232288561
PC_1_Mger_f55y18_bao,-0.0542782524092566
PC_1_Mger_m10y18_dobo,-0.0437616104139896
PC_1_Mger_m17y18_fina,-0.0547607888988067
PC_1_Mger_m44y18_anja,-0.0444611891772888
PC_1_Mjol_LAKI5.20_S12,-0.031648778017833
PC_1_Mjol_LAKI5.24,-0.0332240664053494
PC_1_Mmaro_RMR131,-0.0158688458080749
PC_1_Mjon_A12,-0.0290272671857636
PC_1_Mjon_A23,-0.0360208959048232
PC_1_Mjon_A24,-0.0259409704947015
PC_1_Mjon_B13,-0.0366201659734315
PC_1_Mjon_B24,-0.0414586635254101
PC_1_Mjon_B34,-0.0301785981325281
PC_1_Mjon_BD1,-0.0439248747328256
PC_1_Mjon_MBB019,-0.0360158306800153
PC_1_Mjon_MBB020,-0.0280231907869275
PC_1_Mjon_MBB027,-0.0279416465707588
PC_1_Mmac_01y06_hely_S12,-0.0218125875670532
PC_1_Mmac_04y06_hely_S12,-0.0395347155307925
PC_1_Mmac_04y13_hely_S12,-0.0395347155307925
PC_1_Mmac_06y08_hely_S12,-0.0395347155307926
PC_1_Mmac_07y08_hely_S12,-0.050801201927662
PC_1_Mmac_08y08_hely_S12,-0.0400302425128728
PC_1_Mleh_01y00_man_S12,-0.0859798238126079
PC_1_Mleh_02y00_man_S12,-0.00609144249535133
PC_1_Mleh_ANJZ11,-0.0174220699955905
PC_1_Mleh_B12,-0.0316798186453945
PC_1_Mleh_B14,-0.0536440814966427
PC_1_Mleh_BC3,-0.0260324693040578
PC_1_Mleh_C24,-0.034791500924986
PC_1_Mleh_JMR001_S12,-0.0302057954431595
PC_1_Mleh_JMR002_S12,-0.0413868862444215
PC_1_Mleh_MBB038,0.000331300328455295
PC_1_Mleh_MBB045,0.0061878662027412
PC_1_Mleh_ODY6.9,-0.0335725728522299
PC_1_Mleh_Oskar_S12,-0.0260155715321017
PC_1_Mleh_SIB7.1,-0.0375217460314416
PC_1_Mleh_TAD4.32,-0.0332360999362895
PC_1_Mleh_Viola_S12,-0.0306151868967615
PC_1_Mmit_07y06_habe_S12,-0.0424143405150556
PC_1_Mmit_10y07_hely_S12,-0.0504412642432549
PC_1_Mmit_MBB005,-0.0439649105483889
PC_1_Mmit_MBB012,-0.0066969547891514
PC_1_Mmit_PBZT115,-0.0171094119960991
PC_1_Mmit_RMR186,-0.0422667393077257
PC_1_Mmit_RMR187,-0.0167488068799336
PC_1_Mmit_m05y06_hely,-0.0151087234440576
PC_1_Mmam_02y02_oka_S12,-0.0419124003571197
PC_1_Mmam_05y02_oka_S12,-0.0421024113249698
PC_1_Mmam_11y02_oka_S12,-0.0770538362317693
