,x
PC_1_Mber_JMR045,-0.0237250017112536
PC_1_Mber_Joerg73,-0.0220500968006668
PC_1_Mber_KIR06.30_S12,-0.0249439060597187
PC_1_Mber_KIR06.34,-0.0263093571191043
PC_1_Mber_RMR94,-0.0206681342304687
PC_1_Mmyo_01y13_bom_S12,-0.0316497069385543
PC_1_Mmyo_03y06_hatsi_S12,-0.0316497069385543
PC_1_Mmyo_17y03_madi_S12,-0.0523897191539415
PC_1_Mmyo_BEMA7.17_S12,-0.0213727550764587
PC_1_Mmyo_JMR027,-0.021221929344569
PC_1_Mmyo_JMR072,-0.0481562014596562
PC_1_Mmyo_RMR31,-0.0234684128597926
PC_1_Mmyo_RMR70,-0.0262288932136984
PC_1_Mruf_CAISOM101,-0.0226126092519678
PC_1_Mruf_E250M100,-0.0111052875888095
PC_1_Mruf_PBZT116,-0.0261672953234065
PC_1_Mruf_PBZT122,-0.0270608726065085
PC_1_Mruf_RMR142,-0.0231252651515027
PC_1_Mruf_TRA8.83,-0.0263797445107889
PC_1_Mruf_TRA8.85,-0.0244791250797318
PC_1_Mbon_301y03_ata_S12,0.209491282293885
PC_1_Mbon_3y11_hara_S12,0.133482883464676
PC_1_Mbon_55y04_bibo_S12,0.131569864156626
PC_1_Mbon_f08y13_zana,0.108632125580284
PC_1_Mbon_f09y13_zana,0.103228964906787
PC_1_Mbon_f13y15_sely,0.117826840497436
PC_1_Mbon_f17y13_zana,0.105760122778013
PC_1_Mdan_02y08_befa_S12,0.131569864156626
PC_1_Mdan_42y04_koa_S12,0.13195202829264
PC_1_Mdan_44y04_koa_S12,0.207961854741644
PC_1_Mdan_83y04_injo_S12,0.131569864156626
PC_1_Mdan_90y04_anji_S12,0.207961854741644
PC_1_Mrav_10y03_anko_S12,0.122019795632393
PC_1_Mrav_10y13_jbb_S12,0.128443855980531
PC_1_Mrav_13y03_anko_S12,0.207961854741644
PC_1_Mrav_166y03_bero,0.102220240489321
PC_1_Mrav_f325y18_mari,0.108185990915975
PC_1_Mrav_m117y17_jabe,0.102254476439513
