,x
PC_1_Mber_JMR045,-0.0606823991286344
PC_1_Mber_Joerg73,-0.0578224233702311
PC_1_Mber_KIR06.30_S12,-0.0576137479216436
PC_1_Mber_KIR06.34,-0.060145126198317
PC_1_Mber_RMR94,-0.0567776872832515
PC_1_Mmyo_01y13_bom_S12,-0.0909919085362579
PC_1_Mmyo_03y06_hatsi_S12,-0.10917953723879
PC_1_Mmyo_17y03_madi_S12,-0.0909919085362579
PC_1_Mmyo_BEMA7.17_S12,-0.0532056168351641
PC_1_Mmyo_JMR027,-0.0460064111597746
PC_1_Mmyo_JMR072,-0.0529419200809267
PC_1_Mmyo_RMR31,-0.0546123595833538
PC_1_Mmyo_RMR70,-0.0632897684651559
PC_1_Mruf_CAISOM101,-0.0660241946695161
PC_1_Mruf_E250M100,-0.0607002307670475
PC_1_Mruf_PBZT116,-0.0605867460408558
PC_1_Mruf_PBZT122,-0.0605064070936047
PC_1_Mruf_RMR142,-0.0620702560714722
PC_1_Mruf_TRA8.83,-0.0598892075813003
PC_1_Mruf_TRA8.85,-0.0610833688146168
PC_1_Mbon_301y03_ata_S12,0.120940842182204
PC_1_Mbon_3y11_hara_S12,0.115646213982133
PC_1_Mbon_55y04_bibo_S12,0.119872610350533
PC_1_Mbon_f08y13_zana,0.0894032283690919
PC_1_Mbon_f09y13_zana,0.0835307442214436
PC_1_Mbon_f13y15_sely,0.0964755381620958
PC_1_Mbon_f17y13_zana,0.0865410160145105
PC_1_Mdan_02y08_befa_S12,0.115428286630329
PC_1_Mdan_42y04_koa_S12,0.107064580398358
PC_1_Mdan_44y04_koa_S12,0.116651160538426
PC_1_Mdan_83y04_injo_S12,0.107935952920815
PC_1_Mdan_90y04_anji_S12,0.0304208200247612
PC_1_Mrav_10y03_anko_S12,0.106786007989789
PC_1_Mrav_10y13_jbb_S12,0.10344339625365
PC_1_Mrav_13y03_anko_S12,0.106786007989789
PC_1_Mrav_166y03_bero,0.0843774019131233
PC_1_Mrav_f325y18_mari,0.0856272326240936
PC_1_Mrav_m117y17_jabe,0.0870315857767711
PC_1_Mrav_m125y14_mari_S12,0.10660361921649
PC_1_Mrav_m139y17_jabe,0.0872152766668025
